property_type,place_with_parent_names,region,lat-lon,area_m2,price_usd
house,|Brasil|Bahia|Camaçari|,Northeast,,114,99856.45
apartment,|Brasil|Bahia|Lauro de Freitas|Vilas do Atlântico|,Northeast,"-12.852844,-38.32711",136,109217.99
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.98516,-38.482758",68,101416.71
apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.001169,-38.49419",71,121700.05
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-12.993305,-38.45739",165,343256.56
apartment,|Brasil|Bahia|Salvador|Ondina|,Northeast,"-13.004092,-38.5047",71,170068.02
apartment,|Brasil|Bahia|Salvador|Stiep|,Northeast,"-12.983234,-38.443928",72,118579.54
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.937969,-38.381538",83,132621.85
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.937969,-38.381538",67,99856.45
apartment,|Brasil|Bahia|Salvador|Imbuí|,Northeast,"-12.974941,-38.440117",70,102976.97
apartment,|Brasil|Bahia|Salvador|Trobogy|,Northeast,"-12.931565,-38.40873",67,102976.97
apartment,|Brasil|Bahia|Salvador|Horto Florestal|,Northeast,"-13.002883,-38.486099",156,321412.96
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.941992,-38.403465",54,93615.42
apartment,|Brasil|Bahia|Salvador|Paralela|,Northeast,"-12.950598,-38.40873",195,390064.28
apartment,|Brasil|Bahia|Salvador|Paralela|,Northeast,"-12.950598,-38.40873",142,262123.19
apartment,|Brasil|Bahia|Salvador|Paralela|,Northeast,,112,212194.96
apartment,|Brasil|Bahia|Salvador|Alphaville I|,Northeast,"-12.941992,-38.403465",137,196592.39
apartment,|Brasil|Bahia|Salvador|,Northeast,,143,265243.71
apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",128,152905.19
apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",111,174748.79
house,|Brasil|Bahia|Lauro de Freitas|Estrada do Coco|,Northeast,"-12.852844,-38.32711",120,121700.05
apartment,|Brasil|Bahia|Salvador|,Northeast,,230,296448.85
apartment,|Brasil|Bahia|Lauro de Freitas|,Northeast,"-12.852844,-38.32711",71,81133.37
apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",186,234038.56
apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.009664,-38.486431",186,411471.01
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.984901,-38.439594",128,234038.56
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.998506,-38.52309",122,249641.14
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.98223,-38.43898",59,145790.42
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.994513,-38.479004",140,234038.56
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.964468,-38.417938",180,277725.76
apartment,|Brasil|Bahia|Salvador|Campo Grande|,Northeast,"-12.993533,-38.526047",210,246520.62
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.992462,-38.444553",59,113898.77
